DIRE,SCORE,SCORE_TYPE
-0.089956276,0.68908478,HARD
-0.965121446,0.68908478,HARD
0.355654141,0.136343187,HARD
1.646134075,0.415355976,HARD
1.646134075,0.68908478,HARD
-0.632668784,0.136343187,HARD
1.200523658,-1.009086593,HARD
-0.089956276,0.33594598,HARD
0.770968906,0.68908478,HARD
0.355654141,0.68908478,HARD
-0.203114032,0.68908478,HARD
-0.089956276,-0.219132248,HARD
0.355654141,-1.643096358,HARD
1.200523658,0.68908478,HARD
-1.078279201,0.33594598,HARD
-0.089956276,0.68908478,HARD
-0.965121446,0.68908478,HARD
1.646134075,-1.009086593,HARD
1.646134075,-1.362225394,HARD
-0.965121446,-0.216795613,HARD
0.355654141,-0.456345,HARD
-0.965121446,0.415355976,HARD
-0.965121446,-0.216795613,HARD
1.646134075,-1.998571793,HARD
-1.078279201,0.333609345,HARD
1.646134075,0.68908478,HARD
-0.965121446,0.68908478,HARD
0.355654141,-0.456345,HARD
-1.078279201,-1.699709881,HARD
-1.185097741,0.68908478,HARD
0.325358489,0.68908478,HARD
-1.078279201,-1.009086593,HARD
-0.519511029,0.415355976,HARD
-0.965121446,0.33594598,HARD
-0.965121446,0.68908478,HARD
-0.519511029,0.68908478,HARD
-0.203114032,0.68908478,HARD
-0.965121446,-1.009086593,HARD
1.646134075,0.33594598,HARD
-0.089956276,0.495211931,HARD
-1.078279201,0.415355976,HARD
-0.965121446,0.68908478,HARD
-0.965121446,-0.137385617,HARD
-0.519511029,0.33594598,HARD
-0.965121446,0.68908478,HARD
-0.519511029,0.848350731,HARD
1.646134075,0.574621927,HARD
-0.089956276,-0.137385617,HARD
1.646134075,-2.252451474,HARD
-1.078279201,0.574621927,HARD
-0.965121446,0.68908478,HARD
-0.089956276,-1.836969206,HARD
1.200523658,0.68908478,HARD
-0.965121446,0.68908478,HARD
1.646134075,0.68908478,HARD
1.646134075,0.68908478,HARD
1.646134075,-3.671610058,HARD
1.200523658,0.062217176,HARD
-0.089956276,0.68908478,HARD
-0.965121446,0.68908478,HARD
-1.078279201,0.68908478,HARD
1.646134075,0.136343187,HARD
-0.965121446,-0.297079049,HARD
-0.089956276,0.848350731,HARD
1.200523658,0.062217176,HARD
1.646134075,-1.814172733,HARD
1.646134075,-1.540443929,HARD
1.646134075,0.136343187,HARD
-0.089956276,0.574621927,HARD
1.200523658,0.848350731,HARD
-0.203114032,0.68908478,HARD
-0.965121446,0.33594598,HARD
0.355654141,0.136343187,HARD
-0.965121446,0.33594598,HARD
1.200523658,-1.362225394,HARD
-0.965121446,0.68908478,HARD
-0.965121446,-2.605590274,HARD
-0.965121446,0.68908478,HARD
-0.965121446,0.295609138,HARD
-0.089956276,-1.009086593,HARD
-0.965121446,-1.009086593,HARD
-1.298255497,0.68908478,HARD
0.325358489,0.136343187,HARD
1.646134075,0.68908478,HARD
0.325358489,-2.366914326,HARD
0.355654141,0.33594598,HARD
-0.965121446,0.68908478,HARD
-0.519511029,0.68908478,HARD
-1.052813347,0.68908478,HARD
0.355654141,0.33594598,HARD
0.770968906,-1.699709881,HARD
0.355654141,0.68908478,HARD
-0.519511029,-2.526180278,HARD
1.646134075,-0.057529662,HARD
1.200523658,0.136343187,HARD
0.355654141,0.136343187,HARD
-0.309932572,0.68908478,HARD
-0.965121446,0.021880334,HARD
-0.519511029,-0.216795613,HARD
-0.965121446,0.574621927,HARD
0.355654141,0.68908478,HARD
-0.965121446,0.68908478,HARD
-0.519511029,0.415355976,HARD
-0.965121446,0.848350731,HARD
-1.185097741,0.848350731,HARD
0.325358489,-3.341267731,HARD
-0.089956276,-0.501582311,SOFT
-0.965121446,-0.776213543,SOFT
0.355654141,2.039650263,SOFT
1.646134075,2.039650263,SOFT
1.646134075,2.039650263,SOFT
-0.632668784,-1.218965905,SOFT
1.200523658,-0.501582311,SOFT
-0.089956276,-0.501582311,SOFT
0.770968906,1.033012765,SOFT
0.355654141,-0.501582311,SOFT
-0.203114032,1.765019031,SOFT
-0.089956276,0.505055188,SOFT
0.355654141,0.596387438,SOFT
1.200523658,1.033012765,SOFT
-1.078279201,-0.501582311,SOFT
-0.089956276,0.075867404,SOFT
-0.965121446,-0.656138862,SOFT
1.646134075,2.039650263,SOFT
1.646134075,2.039650263,SOFT
-0.965121446,-0.776213543,SOFT
0.355654141,0.075867404,SOFT
-0.965121446,-0.930770094,SOFT
-0.965121446,-0.938207637,SOFT
1.646134075,0.230423956,SOFT
-1.078279201,-1.098891225,SOFT
1.646134075,2.039650263,SOFT
-0.965121446,-0.656138862,SOFT
0.355654141,0.230423956,SOFT
-1.078279201,-0.501582311,SOFT
-1.185097741,-0.501582311,SOFT
0.325358489,0.87101867,SOFT
-1.078279201,-0.944334673,SOFT
-0.519511029,-0.656138862,SOFT
-0.965121446,-0.776213543,SOFT
-0.965121446,-0.656138862,SOFT
-0.519511029,-0.501582311,SOFT
-0.203114032,-0.501582311,SOFT
-0.965121446,-0.930770094,SOFT
1.646134075,-0.501582311,SOFT
-0.089956276,0.758381533,SOFT
-1.078279201,-1.098891225,SOFT
-0.965121446,-0.930770094,SOFT
-0.965121446,-0.776213543,SOFT
-0.519511029,-0.776213543,SOFT
-0.965121446,-0.930770094,SOFT
-0.519511029,-0.501582311,SOFT
1.646134075,0.505055188,SOFT
-0.089956276,-0.509019854,SOFT
1.646134075,1.033012765,SOFT
-1.078279201,-0.501582311,SOFT
-0.965121446,-0.501582311,SOFT
-0.089956276,0.075867404,SOFT
1.200523658,0.350498636,SOFT
-0.965121446,0.350498636,SOFT
1.646134075,1.033012765,SOFT
1.646134075,2.039650263,SOFT
1.646134075,1.885093712,SOFT
1.200523658,0.230423956,SOFT
-0.089956276,-0.776213543,SOFT
-0.965121446,-0.930770094,SOFT
-1.078279201,-0.501582311,SOFT
1.646134075,1.757581488,SOFT
-0.965121446,-0.501582311,SOFT
-0.089956276,-0.776213543,SOFT
1.200523658,-0.930770094,SOFT
1.646134075,0.878456213,SOFT
1.646134075,1.033012765,SOFT
1.646134075,0.505055188,SOFT
-0.089956276,-0.501582311,SOFT
1.200523658,1.033012765,SOFT
-0.203114032,1.765019031,SOFT
-0.965121446,-0.656138862,SOFT
0.355654141,-0.930770094,SOFT
-0.965121446,-0.776213543,SOFT
1.200523658,1.033012765,SOFT
-0.965121446,-0.776213543,SOFT
-0.965121446,-0.656138862,SOFT
-0.965121446,-0.509019854,SOFT
-0.965121446,-0.776213543,SOFT
-0.089956276,-0.783651086,SOFT
-0.965121446,-0.501582311,SOFT
-1.298255497,-0.501582311,SOFT
0.325358489,-0.930770094,SOFT
1.646134075,2.039650263,SOFT
0.325358489,-0.656138862,SOFT
0.355654141,-0.501582311,SOFT
-0.965121446,-0.783651086,SOFT
-0.519511029,-0.501582311,SOFT
-1.052813347,-0.501582311,SOFT
0.355654141,2.039650263,SOFT
0.770968906,0.758381533,SOFT
0.355654141,0.350498636,SOFT
-0.519511029,-0.663576405,SOFT
1.646134075,2.039650263,SOFT
1.200523658,0.87101867,SOFT
0.355654141,0.878456213,SOFT
-0.309932572,-0.501582311,SOFT
-0.965121446,-0.776213543,SOFT
-0.519511029,-0.930770094,SOFT
-0.965121446,-0.501582311,SOFT
0.355654141,-0.776213543,SOFT
-0.965121446,-0.930770094,SOFT
-0.519511029,-0.930770094,SOFT
-0.965121446,-0.776213543,SOFT
-1.185097741,-0.776213543,SOFT
0.325358489,1.885093712,SOFT
-0.089956276,1.101352423,NETW
-0.965121446,1.180022272,NETW
0.355654141,-0.738331097,NETW
1.646134075,1.147974869,NETW
1.646134075,0.031832027,NETW
-0.632668784,-0.69065004,NETW
1.200523658,-0.38712426,NETW
-0.089956276,-1.110691173,NETW
0.770968906,1.101352423,NETW
0.355654141,-0.105468803,NETW
-0.203114032,0.371059854,NETW
-0.089956276,0.201303286,NETW
0.355654141,-1.514763906,NETW
1.200523658,-0.649065684,NETW
-1.078279201,0.467077159,NETW
-0.089956276,1.180022272,NETW
-0.965121446,-0.064063326,NETW
1.646134075,-0.153683099,NETW
1.646134075,-2.239318506,NETW
-0.965121446,-1.048831166,NETW
0.355654141,1.100293812,NETW
-0.965121446,-0.047896433,NETW
-0.965121446,-0.969584913,NETW
1.646134075,-2.536635376,NETW
-1.078279201,-0.476744033,NETW
1.646134075,-1.269089482,NETW
-0.965121446,0.499124562,NETW
0.355654141,-1.392223604,NETW
-1.078279201,1.021623963,NETW
-1.185097741,1.147974869,NETW
0.325358489,-1.094402328,NETW
-1.078279201,0.588744335,NETW
-0.519511029,-0.025740343,NETW
-0.965121446,1.519250099,NETW
-0.965121446,1.285398725,NETW
-0.519511029,1.519250099,NETW
-0.203114032,1.100293812,NETW
-0.965121446,-0.801428948,NETW
1.646134075,-0.059897641,NETW
-0.089956276,0.169255883,NETW
-1.078279201,0.467077159,NETW
-0.965121446,-0.629874879,NETW
-0.965121446,0.589457072,NETW
-0.519511029,1.100293812,NETW
-0.965121446,0.169788048,NETW
-0.519511029,1.147974869,NETW
1.646134075,0.761065985,NETW
-0.089956276,-1.148158766,NETW
1.646134075,-0.661066892,NETW
-1.078279201,0.371059854,NETW
-0.965121446,0.993901913,NETW
-0.089956276,-1.000294719,NETW
1.200523658,1.27555737,NETW
-0.965121446,-0.527398508,NETW
1.646134075,0.020335224,NETW
1.646134075,-0.615308589,NETW
1.646134075,0.528323179,NETW
1.200523658,-0.990403406,NETW
-0.089956276,-0.692277728,NETW
-0.965121446,-0.38712426,NETW
-1.078279201,-0.12224093,NETW
1.646134075,-1.856042067,NETW
-0.965121446,0.499124562,NETW
-0.089956276,1.147974869,NETW
1.200523658,-0.946354795,NETW
1.646134075,0.344679497,NETW
1.646134075,-0.137924542,NETW
1.646134075,-2.322729369,NETW
-0.089956276,1.180022272,NETW
1.200523658,-0.597155243,NETW
-0.203114032,-1.853991733,NETW
-0.965121446,0.898489841,NETW
0.355654141,-1.667481529,NETW
-0.965121446,1.519250099,NETW
1.200523658,-2.270378221,NETW
-0.965121446,0.066779512,NETW
-0.965121446,-0.201487183,NETW
-0.965121446,-0.771463346,NETW
-0.965121446,-0.559445911,NETW
-0.089956276,-1.035974568,NETW
-0.965121446,-0.509149814,NETW
-1.298255497,-0.12224093,NETW
0.325358489,0.668320871,NETW
1.646134075,0.434671378,NETW
0.325358489,1.101352423,NETW
0.355654141,0.127367125,NETW
-0.965121446,0.914173453,NETW
-0.519511029,1.487202697,NETW
-1.052813347,0.063879429,NETW
0.355654141,1.056245201,NETW
0.770968906,-1.006187846,NETW
0.355654141,0.031832027,NETW
-0.519511029,0.761065985,NETW
1.646134075,-1.285582622,NETW
1.200523658,-0.527398508,NETW
0.355654141,0.2490343,NETW
-0.309932572,1.519250099,NETW
-0.965121446,-0.761249882,NETW
-0.519511029,0.657184324,NETW
-0.965121446,1.147974869,NETW
0.355654141,0.201303286,NETW
-0.965121446,1.317446128,NETW
-0.519511029,1.519250099,NETW
-0.965121446,0.216986897,NETW
-1.185097741,0.729018582,NETW
0.325358489,-1.435900107,NETW
